timestamp,event,client_id,algorithm,rtt_ms,offset_ms,server_time,client_time
2026-03-24T15:34:08.079893,TIME_SERVED,client-4,cristian,0,0,1774366448.078309,0
2026-03-24T15:34:12.265216,TIME_SERVED,client-0,cristian,0,0,1774366452.263322,0
2026-03-24T15:34:12.534774,TIME_SERVED,client-1,cristian,0,0,1774366452.532366,0
2026-03-24T15:34:12.613134,TIME_SERVED,client-2,cristian,0,0,1774366452.610841,0
2026-03-24T15:34:12.864970,TIME_SERVED,client-3,cristian,0,0,1774366452.863259,0
2026-03-24T15:34:13.096468,TIME_SERVED,client-4,cristian,0,0,1774366453.093263,0
2026-03-24T15:34:17.278503,TIME_SERVED,client-0,cristian,0,0,1774366457.275626,0
2026-03-24T15:34:17.557180,TIME_SERVED,client-1,cristian,0,0,1774366457.555711,0
2026-03-24T15:34:17.634905,TIME_SERVED,client-2,cristian,0,0,1774366457.633308,0
2026-03-24T15:34:17.884389,TIME_SERVED,client-3,cristian,0,0,1774366457.883145,0
2026-03-24T15:34:18.098011,TIME_SERVED,client-4,cristian,0,0,1774366458.096519,0
2026-03-24T15:34:22.296826,TIME_SERVED,client-0,cristian,0,0,1774366462.295443,0
2026-03-24T15:34:22.562296,TIME_SERVED,client-1,cristian,0,0,1774366462.559435,0
2026-03-24T15:34:22.636945,TIME_SERVED,client-2,cristian,0,0,1774366462.635927,0
2026-03-24T15:34:22.901621,TIME_SERVED,client-3,cristian,0,0,1774366462.899948,0
2026-03-24T15:34:23.120471,TIME_SERVED,client-4,cristian,0,0,1774366463.119335,0
2026-03-24T15:34:27.323614,TIME_SERVED,client-0,cristian,0,0,1774366467.322458,0
2026-03-24T15:34:27.563418,TIME_SERVED,client-1,cristian,0,0,1774366467.562305,0
2026-03-24T15:34:27.649431,TIME_SERVED,client-2,cristian,0,0,1774366467.64844,0
2026-03-24T15:34:27.916044,TIME_SERVED,client-3,cristian,0,0,1774366467.914818,0
2026-03-24T15:34:28.135847,TIME_SERVED,client-4,cristian,0,0,1774366468.134376,0
2026-03-24T15:34:32.350736,TIME_SERVED,client-0,cristian,0,0,1774366472.349379,0
2026-03-24T15:34:32.583370,TIME_SERVED,client-1,cristian,0,0,1774366472.58201,0
2026-03-24T15:34:32.677470,TIME_SERVED,client-2,cristian,0,0,1774366472.675895,0
2026-03-24T15:34:32.918477,TIME_SERVED,client-3,cristian,0,0,1774366472.917187,0
2026-03-24T15:34:33.139345,TIME_SERVED,client-4,cristian,0,0,1774366473.137561,0
2026-03-24T15:36:54.747699,TIME_SERVED,client-0,cristian,0,0,1774366614.744858,0
2026-03-24T15:36:54.759221,SYNC_REPORT,client-0,cristian,16.458,7.957,1774366614.744858,1774366613.559995
2026-03-24T15:36:55.565275,TIME_SERVED,client-1,cristian,0,0,1774366615.563662,0
2026-03-24T15:36:55.595768,SYNC_REPORT,client-1,cristian,1.012,0.166,1774366615.563662,1774366615.092134
2026-03-24T15:36:56.486620,TIME_SERVED,client-2,cristian,0,0,1774366616.484805,0
2026-03-24T15:36:56.490476,SYNC_REPORT,client-2,cristian,1.795,0.625,1774366616.484805,1774366615.91708
2026-03-24T15:36:57.512031,TIME_SERVED,client-3,cristian,0,0,1774366617.510262,0
2026-03-24T15:36:57.541360,SYNC_REPORT,client-3,cristian,0.946,0.236,1774366617.510262,1774366617.786605
